x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
A0,A0,64.0,A0,A0,A0,A0,A0,A0,A0,A0,99.15,6171.2,A0
A1,A0,27.0,A0,A1,A0,A0,A1,A1,A1,A1,56.2,1567.55,A0
A2,A1,50.0,A1,A1,A0,A1,A1,A2,A1,A0,39.7,1932.75,A0
A3,A0,50.0,A0,A0,A0,A1,A0,A0,A0,A2,103.85,5017.9,A1
A4,A1,45.0,A0,A0,A0,A0,A1,A0,A0,A3,97.05,4385.05,A0
A5,A0,10.0,A0,A2,A1,A2,A2,A2,A1,A2,25.7,251.6,A0
A6,A1,41.0,A0,A2,A1,A2,A2,A0,A1,A3,20.45,775.6,A0
A7,A0,61.0,A1,A1,A2,A1,A1,A0,A1,A2,33.6,2117.2,A0
A8,A0,70.0,A1,A1,A2,,A0,A2,A1,A2,59.5,4144.8,A0
A9,A1,48.0,A0,A2,A1,A2,A2,A2,A1,A0,24.0,1183.05,A0
A10,A0,,A0,A0,A0,A0,A1,A0,A0,A3,85.75,5688.45,A0
A11,A0,35.0,A0,A1,A0,A0,A0,A0,A0,A3,76.05,2747.2,A0
A12,A1,12.0,A0,A2,A1,A2,A2,A1,A1,A3,20.15,260.7,A0
A13,A0,66.0,A1,A1,A0,A1,A0,,A0,A0,56.75,3708.4,A0
A14,A0,49.0,A1,A1,A2,A1,A1,A0,A0,A2,30.2,1453.1,A0
A15,A1,23.0,A0,A0,A2,A1,A0,A0,A1,A1,90.15,2044.95,A0
A16,A0,72.0,A0,A2,A1,A2,A2,,A1,A2,24.75,1769.6,A0
A17,A0,32.0,A0,A0,A2,A0,A0,A0,A0,A0,80.3,2483.05,A1
A18,A0,1.0,A0,A2,A1,A2,A2,A0,A1,A1,20.0,20.0,A0
A19,A0,47.0,A0,A0,A0,A0,A1,A1,A0,A3,78.9,3650.35,A0
A20,A0,1.0,A0,A1,A2,A0,A1,A0,A0,A3,42.9,42.9,A1
A21,A0,1.0,A0,A1,A2,A0,A1,A0,A0,A1,50.75,50.75,A0
A22,A0,8.0,A0,A2,A1,A2,A2,A1,A1,A1,24.4,203.95,A0
A23,A0,19.0,A0,A0,A0,A0,A0,,A0,A3,99.95,1931.75,A1
A24,A0,5.0,A0,A1,A0,,A1,A0,A1,A0,64.4,316.9,A0
A25,A1,15.0,A0,A1,A2,A0,A1,A0,A0,A3,51.1,711.15,A0
A26,A1,63.0,A0,A0,A2,A0,A1,A1,A0,A0,81.2,4965.1,A0
A27,A1,35.0,A0,A2,A1,A2,A2,A0,A1,A2,19.25,617.65,A0
A28,A0,42.0,A0,A1,A2,A0,A0,A1,A1,A0,80.45,3375.9,A0
A29,A0,12.0,A0,A1,A2,A0,A1,A0,A0,A2,45.4,518.9,A1
A30,A0,30.0,A0,A0,A2,A0,A0,A0,A0,A0,94.05,2866.45,A1
A31,A0,19.0,A0,A0,A2,A0,A1,A0,A0,A2,78.7,1495.1,A0
A32,A1,54.0,A0,A0,A0,A0,A0,,A0,A0,100.05,5299.65,A0
A33,A1,1.0,A0,A2,A1,A2,A2,A0,A1,A1,20.4,20.4,A1
A34,A0,5.0,A0,A1,A2,A0,A1,A0,A1,A3,47.15,223.15,A1
A35,A0,65.0,A0,A2,A1,A2,A2,A2,A0,A0,19.85,1267.05,A0
A36,A0,24.0,A0,A0,A2,A0,A0,A0,A0,A3,96.0,2122.45,A1
A37,A1,23.0,A0,A1,A2,A1,A1,A0,A1,A3,54.25,1221.55,A0
A38,A1,72.0,A0,A0,A0,A1,A0,A2,A0,A0,110.65,8065.65,A0
A39,A1,20.0,A0,A0,A2,A0,A1,A0,A1,A3,82.4,1592.35,A1
A40,A0,22.0,A0,A0,A0,A0,A1,A0,A0,A3,79.35,1730.35,A1
A41,A1,59.0,A0,A0,A0,A0,A1,A0,A0,A3,94.75,5597.65,A0
A42,A1,33.0,A0,A1,A2,A0,A1,A1,A0,A1,51.45,1758.9,A0
A43,A0,9.0,A0,A0,A2,A1,A0,A0,A0,A3,94.05,811.65,A0
A44,A0,7.0,A0,A2,A1,A2,A2,A0,A0,A2,25.05,152.95,A0
A45,A0,68.0,A0,A1,A0,A1,A0,A1,A0,A0,76.9,5023.0,A0
A46,A0,56.0,A0,A0,A2,A1,A0,A1,A0,A2,104.55,5794.65,A1
A47,A0,11.0,A0,A1,A0,A0,A1,A0,A1,A2,60.25,662.95,A0
A48,A1,64.0,A0,A2,A1,A2,A2,A1,A0,A2,24.4,1601.2,A0
A49,A1,26.0,A0,A2,A1,A2,A2,A2,A1,A0,19.65,494.9,A0
A50,A0,42.0,A0,A2,A1,A2,A2,A2,A1,A1,19.35,867.3,A0
A51,A0,45.0,A0,A0,A0,A0,A0,A0,A0,A0,100.85,4740.0,A1
A52,A0,13.0,A1,A1,A2,A0,A1,A0,A0,A2,25.15,331.85,A0
A53,A0,8.0,A0,A0,A2,A0,A1,A0,A0,A3,74.85,572.45,A0
A54,A0,3.0,A0,A2,A1,A2,A2,A0,A1,A1,19.95,58.3,A0
A55,A0,29.0,A0,A1,A2,A1,A0,A2,A1,A1,75.55,2054.4,A0
A56,A1,11.0,A1,A1,A2,A0,A1,A0,A1,A3,25.2,321.05,A0
A57,A0,12.0,A0,A0,A0,A1,A0,A0,A0,A1,112.95,1384.75,A1
A58,A0,56.0,A1,A1,A0,A0,A1,A1,A0,A1,52.0,2884.9,A0
A59,A0,72.0,A0,A0,A0,A1,A0,A2,A1,A2,111.95,8033.1,A0
A60,A1,2.0,A0,A0,A2,A0,A0,A0,A0,A3,96.0,174.8,A1
A61,A0,69.0,A0,A1,A0,,A0,A2,A0,A2,81.95,5601.4,A0
A62,A0,71.0,A0,A2,A1,A2,A2,A2,A1,A2,23.95,1756.2,A0
A63,A1,10.0,A0,A0,A2,A0,A1,A0,A0,A3,74.75,799.65,A1
A64,A0,2.0,A0,A2,A1,A2,A2,A0,A1,A1,19.4,50.6,A0
A65,A1,2.0,A0,A1,A2,A0,A1,A0,A0,A0,44.6,80.55,A1
A66,A1,30.0,A0,A1,A2,A0,A0,A0,A1,A2,66.3,1923.5,A0
A67,A1,70.0,A1,A1,A0,A1,A0,A2,A1,A2,57.8,4039.3,A0
A68,A0,45.0,A0,A0,A0,A1,A0,A0,A0,A2,95.95,4456.65,A0
A69,A0,3.0,A0,A2,A1,A2,A2,A0,A0,A0,20.55,51.15,A1
A70,A0,15.0,A0,A2,A1,A2,A2,A2,A1,A1,19.35,278.85,A0
A71,A1,23.0,A0,A1,A2,A1,A0,A1,A0,A2,68.75,1689.45,A0
A72,A1,64.0,A0,A0,A2,A1,A0,A1,A0,A0,100.05,6254.2,A1
A73,A1,38.0,A0,A1,A0,A0,A1,,A0,A0,57.15,2250.65,A1
A74,A0,52.0,A0,A1,A0,A1,A0,A2,A1,A3,79.2,4016.3,A0
A75,A1,5.0,A0,A1,A2,,A1,A0,A1,A3,54.2,308.25,A1
A76,A1,35.0,A0,A1,A2,A0,A1,A1,A0,A2,62.15,2215.45,A0
A77,A0,56.0,A0,A2,A1,A2,A2,A1,A1,A0,19.95,1126.75,A0
A78,A1,13.0,A0,A1,A0,A0,A0,A0,A1,A2,67.8,842.25,A0
A79,A0,71.0,A0,A1,A0,A1,A0,A2,A0,A1,91.25,6589.6,A0
A80,A0,31.0,A1,A1,A2,A0,A1,A0,A1,A2,35.4,1077.5,A1
A81,A1,1.0,A0,A0,A2,A0,A1,A0,A0,A3,70.25,70.25,A0
A82,A0,70.0,A0,A1,A0,A1,A0,A2,A0,A0,80.15,5600.15,A0
A83,A1,41.0,A0,A2,A1,A2,A2,A1,A0,A1,19.75,806.95,A0
A84,A0,11.0,A0,A1,A2,A1,A1,A0,A0,A2,59.65,683.25,A0
A85,A1,,A0,A0,A2,A0,A1,A0,A1,A3,78.8,78.8,A1
A86,A1,41.0,A0,A0,A0,A1,A0,A0,A0,A3,106.3,4443.45,A1
A87,A1,1.0,A0,A1,A2,A0,A1,A0,A0,A0,44.55,44.55,A0
A88,A0,48.0,A0,A0,A0,A1,A1,A2,A0,A2,96.9,4473.45,A0
A89,A1,6.0,A0,A2,A1,A2,A2,A2,A1,A0,19.65,116.85,A0
A90,A1,5.0,A0,A1,A2,A1,A1,A0,A1,A2,67.95,350.3,A1
A91,A0,17.0,A0,A0,A2,A1,A1,A0,A0,A3,76.65,1313.55,A1
A92,A0,1.0,A0,A0,A2,A1,A1,A0,A0,A3,84.85,84.85,A1
A93,A1,52.0,A0,A0,A0,A1,A0,A0,A0,A3,109.1,5647.95,A0
A94,A0,69.0,A0,A1,A2,A1,A0,A2,A1,A0,74.1,5031.0,A0
A95,A1,1.0,A0,A0,A2,A0,A1,A0,A1,A1,75.3,75.3,A1
A96,A1,23.0,A0,A0,A2,A0,A1,A1,A1,A0,81.85,1810.85,A0
A97,A0,30.0,A0,A0,A2,A0,A0,A0,A0,A3,101.5,2917.65,A0
A98,A0,27.0,A0,A2,A1,A2,A2,A1,A1,A0,20.05,552.9,A0
A99,A0,62.0,A0,A2,A1,A2,A2,A1,A1,A2,24.8,1476.25,A0
A100,A1,23.0,A0,A1,A2,A0,A1,A0,A1,A3,54.4,1249.25,A0
A101,A1,9.0,A0,A0,A2,A0,A0,A0,A0,A3,94.75,889.9,A1
A102,A0,48.0,A0,A0,A2,A0,A0,A0,A0,A3,95.4,4445.3,A0
A103,A0,49.0,A0,A0,A0,,A1,A1,A0,A3,93.65,4520.15,A0
A104,A0,62.0,A0,A0,A0,A1,A1,A0,A0,A3,89.1,5618.3,A0
A105,A0,,A1,A1,A2,A1,A0,A2,A0,A0,64.05,3886.85,A0
A106,A0,71.0,A0,A0,A0,A1,A1,A2,A1,A0,100.2,7209.0,A0
A107,A1,24.0,A0,A1,A0,A0,A0,,A1,A3,78.4,1832.4,A0
A108,A1,5.0,A0,A0,A2,A0,A1,,A0,A0,81.0,389.6,A1
A109,A0,34.0,A0,A0,A2,A1,A0,A0,A1,A3,100.85,3527.3,A0
A110,A1,35.0,A0,A0,A2,A1,A0,A0,A1,A2,102.05,3452.55,A0
A111,A1,38.0,A0,A2,A1,A2,A2,,A1,A1,20.2,735.9,A0
